,Id,Mas Vnr Area,Full Bath,Wood Deck SF,Total Bsmt SF,Garage Area,Lot Shape,Kitchen Qual,Garage Finish,Heating QC,BsmtFin Type 1
0,2658,0.0,2,0,1020,440,1,4,3,2,6
1,2718,0.0,2,170,1967,580,2,3,1,3,6
2,2414,0.0,2,100,654,426,2,2,2,1,1
3,1989,0.0,1,0,968,480,1,3,3,3,6
4,625,247.0,1,0,1394,514,2,3,2,2,3
5,333,0.0,1,0,546,286,1,3,3,3,4
6,1327,0.0,1,0,869,308,1,3,3,3,6
7,858,0.0,1,173,1268,252,2,2,3,3,2
8,95,0.0,2,0,840,588,1,2,2,1,6
9,1568,0.0,2,238,1196,473,1,3,3,3,2
10,2482,0.0,2,0,1217,484,1,2,2,2,1
11,1364,0.0,1,0,1040,320,1,3,3,2,6
12,2584,0.0,1,0,1367,451,1,3,3,1,6
13,818,23.0,4,312,1168,820,1,3,1,1,1
14,2673,0.0,1,27,848,240,2,3,3,3,6
15,2089,98.0,1,116,0,252,1,3,2,1,7
16,1297,0.0,2,0,884,828,1,3,3,3,3
17,790,0.0,1,0,1073,340,1,3,3,3,4
18,2616,104.0,2,355,1313,418,1,3,2,3,4
19,720,0.0,1,0,916,424,1,2,3,2,3
20,222,0.0,1,406,1060,270,2,2,3,1,4
21,557,0.0,1,0,864,732,2,3,3,1,1
22,1148,0.0,2,0,1604,533,1,2,2,1,5
23,2766,0.0,1,0,938,540,2,3,3,1,2
24,534,0.0,1,0,1218,576,1,2,2,1,6
25,1452,0.0,1,0,864,352,2,3,3,3,2
26,630,0.0,2,55,715,368,2,3,3,2,6
27,2648,0.0,1,0,636,240,1,1,3,3,6
28,125,156.0,1,120,936,480,1,2,2,1,1
29,1904,0.0,1,0,370,0,1,4,4,3,5
30,1670,0.0,1,0,858,684,2,3,3,3,2
31,756,0.0,1,0,780,539,1,3,3,3,3
32,717,0.0,1,181,1240,864,2,2,3,3,6
33,1032,0.0,1,224,1176,439,1,2,3,2,3
34,852,180.0,2,0,1492,608,1,2,2,1,1
35,1731,44.0,2,100,608,454,2,2,1,1,6
36,2639,0.0,1,0,1147,162,1,4,3,3,5
37,2071,0.0,1,0,0,460,1,3,3,3,7
38,1267,0.0,1,196,105,414,1,2,3,2,6
39,1851,0.0,2,176,1339,625,2,2,3,1,6
40,567,76.0,2,0,612,528,1,2,2,1,6
41,2439,0.0,2,89,930,431,2,2,1,2,6
42,1898,0.0,1,0,1063,624,1,2,3,2,4
43,647,70.0,1,324,1008,288,1,3,3,1,3
44,2256,352.0,2,240,1501,512,2,2,1,1,1
45,979,0.0,1,0,546,0,1,3,4,3,6
46,1444,162.0,2,0,920,608,2,2,2,1,1
47,2485,0.0,1,421,828,300,1,3,3,2,3
48,157,0.0,1,0,936,308,1,3,1,1,3
49,88,0.0,1,0,1040,308,1,3,1,4,2
50,2003,0.0,1,0,912,160,1,3,3,2,5
51,186,0.0,3,0,346,624,1,2,3,1,6
52,1425,156.0,2,168,1615,864,2,2,2,1,6
53,2695,0.0,1,0,803,297,1,2,3,1,6
54,738,444.0,1,0,468,320,1,3,1,2,4
55,395,0.0,1,171,1026,440,1,2,2,2,1
56,1353,0.0,2,0,1026,240,1,3,3,1,4
57,1878,0.0,1,316,1024,484,1,3,3,3,2
58,390,0.0,2,40,1176,506,2,3,3,4,2
59,1456,0.0,2,0,992,839,2,2,2,1,1
60,1103,495.0,2,144,1982,938,2,2,1,1,1
61,1387,0.0,1,0,1300,400,1,3,3,4,3
62,2070,340.0,1,0,1158,303,1,3,3,3,4
63,1199,0.0,1,0,825,464,2,3,1,3,2
64,2479,0.0,2,0,761,484,1,2,2,1,2
65,501,634.0,2,182,2024,815,2,2,1,1,3
66,2362,0.0,1,0,858,0,2,3,4,3,3
67,1718,182.0,1,110,1302,631,1,2,2,1,2
68,2188,0.0,1,0,544,0,1,2,4,1,4
69,1483,147.0,1,149,848,420,1,2,2,1,1
70,2557,108.0,1,0,600,528,2,3,3,2,6
71,437,20.0,2,192,1508,640,4,1,1,1,1
72,2224,423.0,1,0,1560,580,2,3,2,3,5
73,1628,76.0,2,164,384,402,2,2,2,2,6
74,397,178.0,1,0,1043,336,2,3,3,1,2
75,587,359.0,1,0,1680,480,2,3,2,4,2
76,971,75.0,1,0,0,336,1,3,3,3,7
77,2611,161.0,1,0,1135,264,1,3,2,1,2
78,1887,0.0,1,0,0,294,2,3,2,3,7
79,2399,674.0,2,144,1780,816,2,1,1,1,1
80,2148,100.0,2,192,1459,527,1,2,2,1,6
81,304,0.0,1,0,629,625,1,3,3,4,3
82,1997,0.0,1,0,687,336,1,2,3,2,4
83,2817,0.0,2,147,676,528,1,3,3,2,4
84,1431,0.0,2,403,616,603,2,2,2,2,1
85,427,306.0,2,0,2042,1390,1,1,2,1,6
86,263,0.0,1,0,876,484,1,3,3,3,2
87,598,509.0,2,0,1232,495,1,3,2,4,1
88,2895,653.0,2,574,1686,511,2,3,2,3,6
89,687,0.0,1,180,864,576,1,3,3,3,5
90,1822,0.0,1,0,999,264,2,2,3,2,2
91,2191,0.0,1,168,560,384,1,3,3,2,6
92,179,0.0,1,0,827,240,1,4,3,2,6
93,1009,0.0,2,168,1228,472,2,2,1,2,1
94,2010,0.0,2,0,728,224,1,3,3,1,4
95,1991,0.0,1,0,728,374,1,3,3,3,5
96,1411,0.0,1,158,1509,322,1,2,3,3,4
97,1721,108.0,2,156,1554,627,1,2,2,1,1
98,1144,0.0,2,0,827,627,1,2,2,1,1
99,593,0.0,2,0,810,528,1,2,1,1,1
100,575,450.0,2,501,1694,642,2,1,1,1,1
101,1249,360.0,2,0,998,540,1,3,1,3,6
102,1604,0.0,1,362,876,264,2,3,3,3,2
103,1064,680.0,1,154,2535,789,1,1,1,1,1
104,1923,0.0,1,0,1244,336,2,3,3,1,4
