,Id,central_air_Y
0,2658,0
1,2718,1
2,2414,1
3,1989,1
4,625,1
5,333,1
6,1327,1
7,858,1
8,95,1
9,1568,1
10,2482,1
11,1364,1
12,2584,1
13,818,1
14,2673,0
15,2089,1
16,1297,1
17,790,1
18,2616,1
19,720,1
20,222,1
21,557,1
22,1148,1
23,2766,1
24,534,1
25,1452,1
26,630,1
27,2648,1
28,125,1
29,1904,0
30,1670,1
31,756,1
32,717,0
33,1032,1
34,852,1
35,1731,1
36,2639,0
37,2071,0
38,1267,1
39,1851,1
40,567,1
41,2439,1
42,1898,1
43,647,1
44,2256,1
45,979,1
46,1444,1
47,2485,1
48,157,1
49,88,1
50,2003,1
51,186,1
52,1425,1
53,2695,1
54,738,1
55,395,1
56,1353,1
57,1878,1
58,390,1
59,1456,1
60,1103,1
61,1387,1
62,2070,1
63,1199,1
64,2479,1
65,501,1
66,2362,1
67,1718,1
68,2188,1
69,1483,1
70,2557,1
71,437,1
72,2224,1
73,1628,1
74,397,1
75,587,1
76,971,1
77,2611,1
78,1887,1
79,2399,1
80,2148,1
81,304,1
82,1997,1
83,2817,1
84,1431,1
85,427,1
86,263,1
87,598,1
88,2895,1
89,687,1
90,1822,1
91,2191,0
92,179,1
93,1009,1
94,2010,1
95,1991,1
96,1411,1
97,1721,1
98,1144,1
99,593,1
100,575,1
101,1249,1
102,1604,1
103,1064,1
104,1923,1
105,1988,1
106,2325,1
107,114,1
108,2700,1
109,217,0
110,343,1
111,386,1
112,2005,1
113,2908,1
114,1814,1
115,2446,1
116,208,1
117,1679,1
118,822,1
119,6,1
120,1781,1
121,2397,1
122,2340,1
123,1618,1
124,2843,0
125,1061,1
126,2786,1
127,1935,1
128,1341,1
129,521,1
130,2136,1
131,996,1
132,227,1
133,135,1
134,1167,1
135,294,1
136,1776,1
137,540,1
138,1717,1
139,2303,1
140,116,1
141,127,1
142,1371,1
143,1014,1
144,1507,1
145,702,1
146,750,1
147,261,1
148,1559,1
149,577,1
150,2812,1
151,2080,1
152,1368,1
153,2376,1
154,659,1
155,1235,1
156,332,1
157,1917,1
158,2094,1
159,1460,1
160,1471,1
161,1509,1
162,1922,1
163,433,1
164,460,1
165,1116,1
166,1137,1
167,53,1
168,2354,1
169,1475,1
170,1761,1
171,842,1
172,2739,1
173,2509,1
174,1007,1
175,2610,1
176,1952,1
177,2719,1
178,2921,1
179,1966,1
180,292,1
181,1204,1
182,1829,1
183,2419,1
184,391,1
185,798,1
186,481,1
187,193,0
188,555,1
189,899,0
190,2357,1
191,328,1
192,1356,1
193,1154,1
194,1730,1
195,2249,1
196,1119,1
197,2856,1
198,1394,1
199,2587,1
200,61,1
201,2661,1
202,2711,1
203,1147,1
204,757,1
205,2623,1
206,2378,1
207,1413,1
208,1722,1
209,1112,1
210,1623,1
211,1201,1
212,1513,1
213,957,1
214,1171,1
215,1145,1
216,2726,1
217,703,1
218,760,1
219,1964,1
220,2512,1
221,159,1
222,1281,1
223,468,1
224,290,1
225,665,0
226,1463,1
227,1792,1
228,923,1
229,500,1
230,1408,1
231,331,1
232,170,1
233,2192,1
234,2571,1
235,2314,1
236,2647,1
237,422,1
238,2457,1
239,1838,1
240,2805,1
241,1645,1
242,1711,1
243,2825,1
244,322,1
245,2103,1
246,342,1
247,600,1
