,Id,Lot Frontage,Lot Area,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area
0,2658,69.0,9142,0.0,0,0,1020,1020,908,1020,0,1928,440,0,60,112,0,0,0
1,2718,0.0,9662,0.0,0,0,1967,1967,1967,0,0,1967,580,170,0,0,0,0,0
2,2414,58.0,17104,0.0,554,0,100,654,664,832,0,1496,426,100,24,0,0,0,0
3,1989,60.0,8520,0.0,0,0,968,968,968,0,0,968,480,0,0,184,0,0,0
4,625,0.0,9500,247.0,609,0,785,1394,1394,0,0,1394,514,0,76,0,0,185,0
5,333,21.0,1890,0.0,294,0,252,546,546,546,0,1092,286,0,0,64,0,0,0
6,1327,52.0,8516,0.0,0,0,869,869,1093,0,0,1093,308,0,0,0,0,0,0
7,858,0.0,9286,0.0,196,0,1072,1268,1268,0,0,1268,252,173,0,0,0,0,0
8,95,39.0,3515,0.0,0,0,840,840,840,840,0,1680,588,0,111,0,0,0,0
9,1568,75.0,10125,0.0,641,279,276,1196,1279,0,0,1279,473,238,83,0,0,0,0
10,2482,50.0,7175,0.0,278,0,939,1217,1217,0,0,1217,484,0,64,0,0,0,0
11,1364,60.0,7200,0.0,0,0,1040,1040,1040,0,0,1040,320,0,132,0,0,0,0
12,2584,75.0,11310,0.0,0,0,1367,1367,1375,0,0,1375,451,0,30,0,0,0,0
13,818,0.0,7976,23.0,820,0,348,1168,1168,1619,0,2787,820,312,0,0,0,0,0
14,2673,69.0,11737,0.0,0,0,848,848,1017,810,0,1827,240,27,36,42,0,0,0
15,2089,60.0,9060,98.0,0,0,0,0,1340,0,0,1340,252,116,0,0,180,0,0
16,1297,60.0,10800,0.0,590,0,294,884,884,552,0,1436,828,0,0,126,0,0,0
17,790,68.0,9571,0.0,257,0,816,1073,1073,0,0,1073,340,0,0,0,0,0,0
18,2616,80.0,10800,104.0,913,0,400,1313,1773,0,0,1773,418,355,98,0,0,144,0
19,720,121.0,17671,0.0,216,0,700,916,916,826,0,1742,424,0,169,0,0,0,0
20,222,0.0,8246,0.0,188,668,204,1060,1060,0,0,1060,270,406,90,0,0,0,0
21,557,0.0,8499,0.0,660,0,204,864,864,0,0,864,732,0,312,0,0,0,0
22,1148,50.0,8012,0.0,165,841,598,1604,1617,0,0,1617,533,0,69,0,0,0,0
23,2766,0.0,21453,0.0,938,0,0,938,988,0,0,988,540,0,130,0,130,0,0
24,534,80.0,9605,0.0,0,0,1218,1218,1218,0,0,1218,576,0,178,0,0,0,0
25,1452,60.0,7180,0.0,390,0,474,864,864,0,0,864,352,0,0,0,0,0,0
26,630,0.0,12513,0.0,0,0,715,715,1281,457,0,1738,368,55,0,0,0,0,0
27,2648,50.0,9000,0.0,0,0,636,636,1089,661,0,1750,240,0,0,293,0,0,0
28,125,80.0,8800,156.0,763,0,173,936,1054,0,0,1054,480,120,0,0,0,0,0
29,1904,51.0,3500,0.0,144,0,226,370,442,228,0,670,0,0,21,0,0,0,0
30,1670,0.0,7340,0.0,322,0,536,858,858,0,0,858,684,0,0,0,0,0,0
31,756,52.0,6240,0.0,152,0,628,780,848,0,360,1208,539,0,23,112,0,0,0
32,717,65.0,11700,0.0,0,0,1240,1240,1320,1320,0,2640,864,181,0,386,0,0,0
33,1032,80.0,10000,0.0,1084,0,92,1176,1178,0,0,1178,439,224,0,0,0,0,0
34,852,75.0,11166,180.0,24,0,1468,1492,1492,0,0,1492,608,0,114,0,0,168,0
35,1731,58.0,13204,44.0,0,0,608,608,608,850,0,1458,454,100,33,0,0,0,0
36,2639,60.0,5520,0.0,284,0,863,1147,1147,510,0,1657,162,0,0,0,0,0,0
37,2071,0.0,9000,0.0,0,0,0,0,998,0,0,998,460,0,0,140,0,0,0
38,1267,74.0,8892,0.0,0,0,105,105,910,0,0,910,414,196,0,150,0,0,0
39,1851,73.0,7321,0.0,0,0,1339,1339,1358,0,0,1358,625,176,174,0,0,0,0
40,567,40.0,3951,76.0,0,0,612,612,612,612,0,1224,528,0,234,0,0,0,0
41,2439,0.0,11214,0.0,0,0,930,930,956,930,0,1886,431,89,0,0,0,0,0
42,1898,75.0,7388,0.0,405,0,658,1063,1327,0,0,1327,624,0,0,0,0,0,0
43,647,75.0,14559,70.0,650,180,178,1008,1363,0,0,1363,288,324,42,0,0,168,0
44,2256,46.0,4054,352.0,949,0,552,1501,1501,0,0,1501,512,240,0,0,0,0,0
45,979,21.0,1533,0.0,0,0,546,546,798,546,0,1344,0,0,0,0,0,0,0
46,1444,68.0,11250,162.0,486,0,434,920,920,866,0,1786,608,0,42,0,0,0,0
47,2485,60.0,7800,0.0,641,0,187,828,965,0,0,965,300,421,0,0,0,0,0
48,157,74.0,5868,0.0,248,240,448,936,936,0,0,936,308,0,0,80,0,160,0
49,88,75.0,7500,0.0,824,0,216,1040,1040,0,0,1040,308,0,0,220,0,0,0
50,2003,52.0,9439,0.0,324,0,588,912,912,336,0,1248,160,0,0,192,0,0,0
51,186,50.0,9000,0.0,0,0,346,346,1157,1111,0,2268,624,0,108,0,0,0,0
52,1425,65.0,9345,156.0,0,0,1615,1615,1615,0,0,1615,864,168,30,0,0,0,0
53,2695,60.0,7200,0.0,0,0,803,803,803,557,0,1360,297,0,65,190,0,0,0
54,738,60.0,6000,444.0,220,0,248,468,822,320,0,1142,320,0,0,98,0,0,0
55,395,61.0,7930,0.0,439,472,115,1026,1026,0,0,1026,440,171,48,0,0,0,0
56,1353,60.0,9120,0.0,329,0,697,1026,1133,687,0,1820,240,0,100,0,0,0,0
57,1878,0.0,9503,0.0,457,374,193,1024,1344,0,0,1344,484,316,28,0,0,0,0
58,390,85.0,11050,0.0,636,0,540,1176,1193,0,0,1193,506,40,0,0,0,0,0
59,1456,0.0,10316,0.0,735,0,257,992,992,873,0,1865,839,0,184,0,0,0,0
60,1103,136.0,11675,495.0,1660,0,322,1982,2006,0,0,2006,938,144,33,0,0,0,0
61,1387,60.0,12900,0.0,1300,0,0,1300,1140,0,0,1140,400,0,0,190,0,0,0
